Location,2018
Afghanistan,71
Algeria,258
Andorra,"3,188"
Angola,84
Antigua and Barbuda,850
Argentina,"1,122"
Armenia,439
Australia,"5,864"
Austria,"5,337"
Azerbaijan,165
Bahamas,"1,920"
Bahrain,"1,049"
Bangladesh,45
Barbados,"1,193"
Belarus,342
Belgium,"5,142"
Belize,287
Benin,30
Bhutan,102
Bolivia,229
Bosnia and Herzegovina,528
Botswana,420
Brazil,863
Brunei,754
Bulgaria,690
Burkina Faso,39
Burundi,20
Cape Verde,179
Cambodia,94
Cameroon,58
Canada,"5,053"
Central African Republic,49
Chad,32
Chile,"1,457"
China,505
Colombia,517
Comoros,74
Congo,48
Cook Islands,567
Costa Rica,902
Ivory Coast,71
Croatia,"1,025"
Cuba,973
Cyprus,"2,021"
Czech Republic,"1,753"
DR Congo,18
Denmark,"6,233"
Djibouti,64
Dominica,485
Dominican Republic,328
Ecuador,497
Egypt,120
El Salvador,345
Equatorial Guinea,271
Eritrea,24
Estonia,"1,553"
Eswatini,291
Ethiopia,24
Fiji,216
Finland,"4,522"
France,"4,669"
Gabon,211
Gambia,23
Georgia,332
Germany,"5,504"
Ghana,74
Greece,"1,603"
Grenada,439
Guatemala,266
Guinea,35
Guinea-Bissau,60
Guyana,299
Haiti,62
Honduras,178
Hungary,"1,080"
Iceland,"6,234"
India,58
Indonesia,112
Iran,463
Iraq,227
Ireland,"5,484"
Israel,"3,220"
Italy,"3,003"
Jamaica,334
Japan,"4,288"
Jordan,322
Kazakhstan,273
Kenya,76
Kiribati,192
Kuwait,"1,661"
Kyrgyzstan,67
Laos,57
Latvia,"1,101"
Lebanon,745
Lesotho,122
Liberia,66
Lithuania,"1,249"
Luxembourg,"6,227"
Madagascar,22
Malawi,37
Malaysia,416
Maldives,805
Mali,32
Malta,"2,754"
Marshall Islands,737
Mauritania,59
Mauritius,642
Mexico,531
Micronesia,422
Monaco,"3,101"
Mongolia,158
Montenegro,727
Morocco,175
Mozambique,41
Myanmar,60
Namibia,473
Nauru,"1,176"
Nepal,50
Netherlands,"5,331"
New Zealand,"3,958"
Nicaragua,168
Niger,30
Nigeria,66
Niue,"1,325"
North Macedonia,387
Norway,"8,272"
Oman,639
Pakistan,41
Palau,"1,790"
Panama,"1,228"
Papua New Guinea,59
Paraguay,421
Peru,363
Philippines,126
Poland,979
Portugal,"2,216"
Qatar,"2,156"
South Korea,"2,519"
Moldova,276
Romania,687
Russia,609
Rwanda,52
Saint Kitts and Nevis,"1,103"
Saint Lucia,513
Saint Vincent and the Grenadines,348
Samoa,198
San Marino,"4,115"
São Tomé and Príncipe,115
Saudi Arabia,"1,291"
Senegal,66
Serbia,617
Seychelles,792
Sierra Leone,43
Singapore,"2,642"
Slovakia,"1,300"
Slovenia,"2,170"
Solomon Islands,92
South Africa,569
South Sudan,28
Spain,"2,741"
Sri Lanka,159
Sudan,36
Suriname,450
Sweden,"6,005"
Switzerland,"9,871"
Tajikistan,60
Thailand,276
East Timor,79
Togo,53
Tonga,219
Trinidad and Tobago,"1,056"
Tunisia,212
Turkey,388
Turkmenistan,457
Tuvalu,801
Uganda,33
Ukraine,221
United Arab Emirates,"1,915"
United Kingdom,"4,228"
Tanzania,41
United States,"10,285"
Uruguay,"1,697"
Uzbekistan,82
Vanuatu,102
Venezuela,165
Vietnam,164
Zambia,75
Zimbabwe,115
