Country,kilocalories
Ireland,"3,885"
United States,"3,782"
Belgium,"3,769"
Turkey,"3,711"
Austria,"3,695"
Iceland,"3,654"
Romania,"3,581"
Canada,"3,566"
Germany,"3,554"
Poland,"3,537"
Israel,"3,528"
Italy,"3,503"
France,"3,502"
Montenegro,"3,500"
Portugal,"3,480"
Kuwait,"3,471"
Luxembourg,"3,465"
Tunisia,"3,450"
South Korea,"3,420"
Malta,"3,420"
Morocco,"3,412"
Lithuania,"3,411"
Denmark,"3,401"
Australia,"3,391"
Greece,"3,382"
Norway,"3,371"
Albania,"3,360"
Switzerland,"3,354"
Russia,"3,345"
United Kingdom,"3,344"
Cuba,"3,344"
Finland,"3,343"
Algeria,"3,322"
Spain,"3,322"
Hungary,"3,316"
United Arab Emirates,"3,314"
Argentina,"3,307"
Bosnia and Herzegovina,"3,307"
Saudi Arabia,"3,307"
Brazil,"3,301"
Netherlands,"3,297"
Egypt,"3,292"
Czech Republic,"3,277"
Belarus,"3,270"
Hong Kong,"3,267"
Estonia,"3,247"
Latvia,"3,229"
China,"3,206"
Uruguay,"3,202"
New Zealand,"3,191"
Slovenia,"3,191"
Sweden,"3,184"
Mexico,"3,157"
Azerbaijan,"3,149"
Colombia,"3,114"
Ukraine,"3,102"
Iran,"3,087"
Kiribati,"3,078"
Croatia,"3,074"
North Macedonia,"3,072"
Kazakhstan,"3,067"
Mauritius,"3,051"
Ghana,"3,035"
Samoa,"3,030"
Chile,"3,029"
Costa Rica,"3,029"
Vietnam,"3,025"
Cyprus,"3,019"
Uzbekistan,"3,011"
Armenia,"2,997"
Trinidad and Tobago,"2,991"
Brunei,"2,985"
Taiwan,"2,983"
Saint Vincent and the Grenadines,"2,968"
Barbados,"2,956"
Dominica,"2,952"
Oman,"2,940"
Guyana,"2,913"
South Africa,"2,899"
Dominican Republic,"2,892"
Indonesia,"2,884"
Mauritania,"2,877"
Mali,"2,873"
Slovakia,"2,871"
New Caledonia,"2,858"
Lebanon,"2,857"
Bulgaria,"2,854"
Panama,"2,851"
Malaysia,"2,845"
Georgia,"2,835"
Turkmenistan,"2,830"
Serbia,"2,828"
Thailand,"2,804"
Jamaica,"2,792"
Fiji,"2,781"
Ivory Coast,"2,778"
Peru,"2,775"
Belize,"2,775"
Nepal,"2,769"
Paraguay,"2,768"
Laos,"2,758"
Benin,"2,755"
Guinea,"2,746"
Burkina Faso,"2,737"
Sri Lanka,"2,737"
Cameroon,"2,733"
Jordan,"2,732"
Kyrgyzstan,"2,729"
Japan,"2,705"
Suriname,"2,698"
El Salvador,"2,696"
Djibouti,"2,694"
Honduras,"2,673"
Myanmar,"2,673"
Philippines,"2,662"
Bahamas,"2,655"
Gabon,"2,633"
Saint Lucia,"2,618"
Iraq,"2,608"
Vanuatu,"2,607"
Ecuador,"2,606"
Niger,"2,601"
Nicaragua,"2,582"
Saint Kitts and Nevis,"2,582"
Mongolia,"2,579"
Sudan,"2,578"
Nigeria,"2,572"
Bangladesh,"2,563"
Guatemala,"2,551"
Senegal,"2,545"
Cape Verde,"2,541"
India,"2,533"
Gambia,"2,533"
Cambodia,"2,492"
Pakistan,"2,486"
Namibia,"2,469"
São Tomé and Príncipe,"2,446"
Antigua and Barbuda,"2,445"
Togo,"2,443"
Eswatini,"2,426"
Solomon Islands,"2,415"
Bolivia,"2,412"
Grenada,"2,402"
Malawi,"2,392"
Angola,"2,385"
Moldova,"2,383"
Tanzania,"2,373"
Sierra Leone,"2,369"
Botswana,"2,342"
Ethiopia,"2,338"
Lesotho,"2,323"
Timor-Leste,"2,287"
Republic of the Congo,"2,285"
Maldives,"2,235"
Guinea-Bissau,"2,229"
Kenya,"2,197"
Rwanda,"2,188"
Liberia,"2,168"
Yemen,"2,154"
Haiti,"2,121"
Venezuela,"2,120"
Chad,"2,115"
Tajikistan,"2,109"
Mozambique,"2,103"
Afghanistan,"2,040"
North Korea,"2,019"
Zambia,"2,002"
Uganda,"1,981"
Madagascar,"1,938"
Zimbabwe,"1,908"
Central African Republic,"1,786"
